id_persona|fecha_relevamiento|fecha_actualizacion|tecnologia_pc_casa|tecnologia_pc_trabajo|tecnologia_pc_universidad|tecnologia_pc_otro_lugar|tecnologia_int_casa|tecnologia_int_trabajo|tecnologia_int_universidad|tecnologia_int_movil|tecnologia_int_otro_lugar|deportes|deportes_universidad|deportes_gimnasio|deportes_particular|deportes_otro_lugar|deportes_basquet|deportes_futbol|deportes_gimnasia|deportes_handball|deportes_natacion|deportes_tenis|deportes_voley|deportes_otros|nivel_idioma_ingles|nivel_idioma_aleman|nivel_idioma_frances|nivel_idioma_italiano|nivel_idioma_portugues|nivel_idioma_chino|idioma_otro|nivel_idioma_otro
84212|2023-04-20|2023-04-27|S|N|N|N|S|N|N|N|N|S|N|S|N|N|N|N|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce||
13499|2022-02-03|2022-02-03|S|S|N|N|S|S|N|N|N|S|N|S|S|S|S|N|N|N|N|N|N|N|Basico|||||||
50562|2014-07-10|2014-07-10|S|S|N|N|S|S|N|N|N|S|N|N|N|N|N|N|S|N|N|N|N|N|Muy bueno|||Basico||||
54091|2019-05-25|2024-03-03|S|S|N|N|S|S|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|Muy bueno|Desconoce|Desconoce|Bueno|Desconoce|||
52795|2016-02-18|2016-06-22|S|N|S|S|S|N|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|Muy bueno|Desconoce|Muy bueno|Basico|Desconoce|||
51182|2005-04-01|2006-03-01|N|N|N|N|N|N|N|N|N|S|N|N|S|N|N|S|N|N|N|N|N|N||||||||
49406|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
55708|2022-02-07|2022-02-07|S|N|N|N|S|N|N|N|N|S|N|S|N|N|S|N|N|N|N|N|N|N|Basico|||||||
55265|2020-03-30|2020-03-30|S|N|N|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
47485|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
67748|2022-12-10|2024-02-11|S|N|N|N|S|N|N|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|Bueno|||||||
49720|2017-04-21|2017-04-21|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
56991|2022-06-24|2022-08-24|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Bueno|||||||
57055|2022-08-02|2024-02-01|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Muy bueno|Desconoce|Desconoce|Desconoce||Desconoce||
57344|2022-09-05|2023-11-24|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
52816|2012-04-20|2012-04-20|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
55144|2022-11-04|2024-02-02|S|N|N|N|S|N|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Bueno|||||||
49369|2010-03-18|2011-02-03|S|S|N|N|S|S|N|N|N|S|N|N|N|S|N|S|N|N|N|N|N|N|Muy bueno|||Basico|Basico|||
103355|2023-12-22|2023-12-22|S|N|N|N|S|N|N|S|N|S|N|S|N|N|N|N|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce||
55678|2021-02-27|2021-02-27|S|S|N|N|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|||||||
56179|2022-02-17|2023-08-17|S|S|S|S|S|S|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|Muy bueno|Desconoce|Desconoce|Desconoce|Basico|||
47918|2005-07-19|2006-03-07|N|N|N|N|N|N|N|N|N|S|N|N|S|N|N|N|N|N|N|S|N|S||||||||
2594|2005-09-19|2024-05-14|S|N|N|N|S|N|N|N|N|S|N|S|N|N|N|S|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce||
53346|2019-11-07|2020-02-29|S|N|S|S|S|S|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|||||||
52675|2011-05-06|2011-05-06|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
56449|2023-02-27|2024-07-24|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Bueno|||||||
90150|2023-08-31|2023-08-31|S|N|N|N|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Bueno|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce||
51458|2006-04-27|2006-04-27|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
49288|2008-02-05|2008-02-05|N|N|N|N|N|N|N|N|N|S|N|S|N|N|N|S|N|N|N|S|N|N||||||||
53457|2021-05-13|2021-05-13|S|N|N|N|S|N|S|N|S|S|N|N|N|S|N|S|N|N|N|N|N|N|Muy bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
