nombre|carrera|plan|materia|nombre_materia|anio_de_cursada|periodo_dictado|obligatoria
Licenciatura en Ciencias Físicas|204|1995|0080|Química Orgánica y Biológica|||N
Licenciatura en Ciencias Físicas|204|1995|0092|Química Ambiental|||N
Licenciatura en Ciencias Físicas|204|1995|0101|Optica y Fotofísica|||N
Licenciatura en Ciencias Físicas|204|1995|0151|Química General e Inorgánica|||N
Licenciatura en Ciencias Físicas|204|1995|3001|Introducción a la Biofísica|||N
Licenciatura en Ciencias Físicas|204|1995|3002|Temas de Electrónica y Optica Cuánticas|||N
Licenciatura en Ciencias Físicas|204|1995|3003|Introducción a la Geofísica de Prospección|||N
Licenciatura en Ciencias Físicas|204|1995|3004|Física Nuclear|||N
Licenciatura en Ciencias Físicas|204|1995|3005|Física del Estado Sólido|||N
Licenciatura en Ciencias Físicas|204|1995|3006|Espectroscopía Molecular|||N
Licenciatura en Ciencias Físicas|204|1995|3007|Mecánica Cuántica II|||N
Licenciatura en Ciencias Físicas|204|1995|3008|Física Cuántica II|||N
Licenciatura en Ciencias Físicas|204|1995|3009|Vectores y Tensores|||N
Licenciatura en Ciencias Físicas|204|1995|3010|Física de Materiales|||N
Licenciatura en Ciencias Físicas|204|1995|3011|Introducción a las Ondas en los Medios Continuos|||N
Licenciatura en Ciencias Físicas|204|1995|3012|Optica Líneal|||N
Licenciatura en Ciencias Físicas|204|1995|3013|Electromagnetismo Avanzado: Propagación y Scattering de Ondas Electromagneticas|||N
Licenciatura en Ciencias Físicas|204|1995|3014|Fundamento de Ciencias de Polímeros|||N
Licenciatura en Ciencias Físicas|204|1995|3015|Luminiscencia en Sólidos|||N
Licenciatura en Ciencias Físicas|204|1995|3016|Optica Cuántica|||N
Licenciatura en Ciencias Físicas|204|1995|3017|Introducción a la Interacción de la Radiación Ionizante con la Materia, su Detección y Dosimetría|||N
Licenciatura en Ciencias Físicas|204|1995|3018|Fluidodinámica Experimental|||N
Licenciatura en Ciencias Físicas|204|1995|3020|Modelos Matemáticos en Ecotoxicología|||N
Licenciatura en Ciencias Físicas|204|1995|3021|Ensayos Ecotoxicológicos|||N
Licenciatura en Ciencias Físicas|204|1995|3022|Física Atómica: Estructura de Coliciones|||N
Licenciatura en Ciencias Físicas|204|1995|3023|Ondas e Inestabilidades en Fluídos|||N
Licenciatura en Ciencias Físicas|204|1995|3024|Transformación de Fase Líquido Sólidos|||N
Licenciatura en Ciencias Físicas|204|1995|3026|Imágenes en Medicina|||N
Licenciatura en Ciencias Físicas|204|1995|3027|Dosimetría en Radioterapia|||N
Licenciatura en Ciencias Físicas|204|1995|3030|Tópicos de Matemática Aplicada|||N
Licenciatura en Ciencias Físicas|204|1995|3034|Relatividad|||N
Licenciatura en Ciencias Físicas|204|1995|3035|Introducción a la Exploración Geofísica|||N
Licenciatura en Ciencias Físicas|204|1995|3036|Electromagnetismo Avanzado: Scattering de Ondas Electromagnéticas por Superficies y Volúmenes|||N
Licenciatura en Ciencias Físicas|204|1995|3037|Sólidos Cristalinos|||N
Licenciatura en Ciencias Físicas|204|1995|3038|Teoría Cuántica de la Física del Estado Sólido|||N
Licenciatura en Ciencias Físicas|204|1995|3039|Caracterización de Materiales Metálicos|||N
Licenciatura en Ciencias Físicas|204|1995|3040|Introducción a la Física del Plasma|||N
Licenciatura en Ciencias Físicas|204|1995|3041|Física Atómica y Molecular|||N
Licenciatura en Ciencias Físicas|204|1995|3044|Medios de Representación|||N
Licenciatura en Ciencias Físicas|204|1995|3045|Coherencia y Optica Cuántica|||N
Licenciatura en Ciencias Físicas|204|1995|3046|Propagación de luz en medios altamente dispersivos con aplicación a medios biológicos|||N
Licenciatura en Ciencias Físicas|204|1995|3047|Física de Polímeros|||N
Licenciatura en Ciencias Físicas|204|1995|3048|Termodinámica de los Diagramas de Fase|||N
Licenciatura en Ciencias Físicas|204|1995|3049|Optica de Medios Turbios con Aplicaciones Biomédicas|||N
Licenciatura en Ciencias Físicas|204|1995|3051|Física de las Imágenes en Medicina|||N
Licenciatura en Ciencias Físicas|204|1995|3052|Flujos en Medios Estratificados|||N
Licenciatura en Ciencias Físicas|204|1995|3056|Propiedades Opticas de Sólidos|||N
Licenciatura en Ciencias Físicas|204|1995|3068|Tópicos en Física de Metales y Aleaciones|||N
Licenciatura en Ciencias Físicas|204|1995|3069|Detección y Medición de la Radiación|||N
Licenciatura en Ciencias Físicas|204|1995|3070|Física del Núcleo y Radiaciones Ionizantes|||N
Licenciatura en Ciencias Físicas|204|1995|3071|Experimentos de Física de Ultra - Alta Precisión. La Física como Filosofía Experimental|||N
Licenciatura en Ciencias Físicas|204|1995|3072|El Método de Montecarlo Aplicado en la Física|||N
Licenciatura en Ciencias Físicas|204|1995|3073|Interacción de la Radiación con la Materia|||N
Licenciatura en Ciencias Físicas|204|1995|3074|Física Atómica Aplicada: Estructura, Colisiones y Espectroscopía de Plasmas|||N
Licenciatura en Ciencias Físicas|204|1995|3076|Paleoclima, Paleoambiente y Magnetismo|||N
Licenciatura en Ciencias Físicas|204|1995|3077|Teoría Cuántica de Muchos Cuerpos: Metodologías Hartree-Fock y Teoría del Funcional de la Densidad|||N
Licenciatura en Ciencias Físicas|204|1995|3085|Astronomía Planetaria|||N
Licenciatura en Ciencias Físicas|204|1995|3086|Física Atómica y Subatómica|||N
Licenciatura en Ciencias Físicas|204|1995|3088|Optica y Fotofísica RCA 030/2018|||N
Licenciatura en Ciencias Físicas|204|1995|3092|Física Atómica|||N
Licenciatura en Ciencias Físicas|204|1995|4022|Análisis de Fourier y Aplicaciones|||N
Licenciatura en Ciencias Físicas|204|1995|4029|Modelos Matemáticos en Biología|||N
